TccvID,Timestamp,Circuit Name,Milk Tank 1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:40:40.015Z,1,69.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:41:40.057Z,2,68.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:41:40.057Z,1,68.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:42:40.079Z,2,68.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:42:40.079Z,1,68.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:43:40.135Z,2,67.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:43:40.135Z,1,67.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:44:40.146Z,1,67
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:44:40.146Z,2,67
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:45:40.198Z,1,66.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:45:40.198Z,2,66.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:46:40.240Z,2,66.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:46:40.240Z,1,66.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:47:40.231Z,1,65.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:47:40.231Z,2,65.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:48:40.270Z,1,64.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:48:40.270Z,2,64.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:49:40.312Z,2,63.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:49:40.312Z,1,63.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:50:40.325Z,1,62.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:50:40.325Z,2,62.6
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:51:40.380Z,1,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:51:40.380Z,2,61.8
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:52:40.440Z,1,61
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:52:40.440Z,2,61
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:53:40.476Z,1,60.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:53:40.476Z,2,60.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:54:40.498Z,1,141
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:54:40.498Z,2,141
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:55:40.553Z,1,149.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:55:40.553Z,2,149.4
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:56:40.625Z,2,148
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:56:40.625Z,1,148
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:57:40.676Z,1,145.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:57:40.676Z,2,145.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:58:40.731Z,2,143.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:58:40.731Z,1,143.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:59:40.777Z,1,140.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T04:59:40.777Z,2,140.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:00:40.831Z,1,139
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:00:40.831Z,2,139
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:01:40.865Z,2,136
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:01:40.865Z,1,136
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:02:40.914Z,1,133.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:02:40.914Z,2,133.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:03:40.920Z,1,133.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:03:40.920Z,2,133.1
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:04:40.979Z,1,131.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:04:40.979Z,2,131.7
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:05:41.043Z,1,130.3
c511c45d6fb353a5b1b680b69ad92ac0be72b0cd,2020-05-01T05:05:41.043Z,2,130.3
